# NCRADS9 menu tree -- GENERATED, do not edit by hand.
# Regenerate with: python tools/dump_menus.py --output docs/parity/ncrads9_menus.txt
# entries: 439 (371 excluding separators)
#
# Format: <menu path>|<kind>|<label>

# File
.vo|cascade|SIAP
.vo.siap|command|2MASS Image
.vo|cascade|Catalog
.vo.catalog|command|VizieR
.vo|cascade|SAMP
.vo.samp|command|Connect
.vo.samp|command|Disconnect
.vo.samp|separator|---
.vo.samp|command|Marker Color
.vo.samp|command|Marker Shape
.vo.samp|command|Marker Size
# WCS
.wcs|radiobutton|FK5
.wcs|radiobutton|FK4
.wcs|radiobutton|ICRS
.wcs|radiobutton|Galactic
.wcs|radiobutton|Ecliptic
.wcs|separator|---
.wcs|checkbutton|Sexagesimal
.wcs|checkbutton|Degrees
.wcs|separator|---
.wcs|checkbutton|Show Direction Arrows
# Analysis
.analysis|command|Pixel Table
.analysis|command|Name Resolution
.analysis|command|Statistics
.analysis|command|Histogram
.analysis|command|Radial Profile
.analysis|separator|---
.analysis|command|Mask Parameters
.analysis|command|Crosshair Parameters
.analysis|command|Graph Parameters
.analysis|separator|---
.analysis|checkbutton|Contours
.analysis|command|Contour Parameters
.analysis|separator|---
.analysis|checkbutton|Coordinate Grid
.analysis|command|Coordinate Grid Parameters
.analysis|separator|---
.analysis|cascade|Block
.analysis.block|command|Block In
.analysis.block|command|Block Out
.analysis.block|command|Block Fit
.analysis.block|separator|---
.analysis.block|radiobutton|Block 1
.analysis.block|radiobutton|Block 2
.analysis.block|radiobutton|Block 4
.analysis.block|radiobutton|Block 8
.analysis.block|radiobutton|Block 16
.analysis.block|radiobutton|Block 32
.analysis|command|Block Parameters
.analysis|separator|---
.analysis|checkbutton|Smooth
.analysis|command|Smooth Parameters
.analysis|separator|---
.analysis|cascade|Image Servers
.analysis.imageservers|command|2MASS Image
.analysis|cascade|Catalogs
.analysis.catalogs|command|VizieR
.analysis|separator|---
.analysis|command|Catalog Tool
.analysis|cascade|Plot Tool
.analysis.plottool|command|Line
.analysis.plottool|command|Bar
.analysis|separator|---
.analysis|command|Virtual Observatory
.analysis|command|Web Browser
.analysis|separator|---
.analysis|checkbutton|Analysis Command Log
.analysis|separator|---
.analysis|command|Load Analysis Commands
.analysis|command|Clear Analysis Commands
.analysis|separator|---
.analysis|command|FITS Header
# Help
.help|command|Contents
.help|command|Keyboard Shortcuts
.help|separator|---
.help|command|About NCRADS9
.help|command|About Qt
